"library","name","category","what_it_does","how_we_used_it_in_RFZ","sections","example"
"statsmodels","sm.OLS(y, X).fit()","Regression","Ordinary least squares: fits y on X, returns a results object with coefficients, t-stats, etc.","Pass 1 — regress each of the 25 portfolios' returns on the 3 factors to get its betas.","S11 (upcoming)","res = sm.OLS(port_ret, sm.add_constant(factors)).fit()"
"statsmodels","sm.add_constant(X)","Regression","Prepends a column of 1s so the regression estimates an intercept (alpha).","Both passes — every OLS needs an intercept term.","S11 (upcoming)","X = sm.add_constant(betas)"
"statsmodels",".fit(cov_type='HAC', cov_kwds={'maxlags':k})","Inference","Newey-West HAC standard errors: corrects the covariance for autocorrelation + heteroskedasticity up to k lags (Newey-West 1987).","Pass 3 — honest t-stats on the average monthly lambdas, which are autocorrelated.","S12 (upcoming)","sm.OLS(lam, np.ones(len(lam))).fit(cov_type='HAC', cov_kwds={'maxlags':6})"
"statsmodels","res.params / res.tvalues / res.bse","Inference","Fitted results: .params = coefficients, .tvalues = t-stats, .bse = standard errors.","Extract betas (Pass 1) and lambda t-stats (Pass 3).","S11-12 (upcoming)","betas = res.params.drop('const')"
"pandas","df.groupby('date').apply(func)","Group-apply","Runs a custom function once per group (here, per month) — used to fit one cross-sectional regression each month.","Pass 2 — one cross-sectional OLS of the 25 returns on betas, every month, yielding the lambda series.","S12 (upcoming)","lambdas = ret.groupby('date').apply(cross_section_ols)"
"numpy","np.average(values, weights=w)","Aggregate","Weighted mean: sum(values*w)/sum(w).","Section 9 value-weighted portfolio returns (weights = June ME).","S9","np.average(g['ret'], weights=g['me_june'])"
"pandas","df.unstack(level)","Reshape","Pivots a grouped/multi-index Series into a wide DataFrame (rows=date, cols=portfolio).","Section 9 turned (date,port)->ret into a 726x6 return matrix.","S9","port_ret = grouped.unstack('port')"
"pandas","series.mean(axis=1)","Aggregate","Row-wise mean across selected columns.","Section 10 averaged the 3 small (and 3 big) portfolios to build SMB.","S10","port_ret[['SL','SM','SH']].mean(axis=1)"
"pandas","idx.to_period('M') / PeriodIndex","Datetime","Converts timestamps to monthly periods so two monthly series align regardless of day-of-month.","Section 10 aligned own factors to Ken French before correlating.","S10","kf.index = pd.to_datetime(kf.index).to_period('M')"
"pandas","df.duplicated(subset).sum()","Check","Counts duplicate rows on the given keys — a fast invariant check.","Section 7 asserted one June-ME row per (permno, form_year).","S7","assert june_me.duplicated(['permno','form_year']).sum()==0"
"pandas","gb.agg(name=(col, func))","Aggregate","Named aggregation: build several summary columns in one groupby, incl. lambdas.","Section 7 built size_med / bm30 / bm70 breakpoints per year in one call.","S7","nyse.groupby('form_year').agg(size_med=('me_june','median'), bm30=('bm', lambda s: s.quantile(0.3)))"
